    gen	allel	   Ho	   Hs	   Ht	  Fis	  Fst	  Fit
  206	51.00	0.0000	0.9465	0.9514	1.0000	0.0052	1.0000
  207	51.00	0.0000	0.9458	0.9516	1.0000	0.0061	1.0000
  208	51.10	0.0000	0.9460	0.9510	1.0000	0.0052	1.0000
  209	50.90	0.0000	0.9449	0.9498	1.0000	0.0051	1.0000
  210	50.80	0.0000	0.9443	0.9490	1.0000	0.0049	1.0000
  211	49.80	0.0000	0.9448	0.9496	1.0000	0.0051	1.0000
  212	50.10	0.0000	0.9449	0.9500	1.0000	0.0054	1.0000
  213	49.50	0.0000	0.9454	0.9505	1.0000	0.0054	1.0000
  214	49.40	0.0000	0.9449	0.9496	1.0000	0.0050	1.0000
  215	48.80	0.0000	0.9445	0.9491	1.0000	0.0049	1.0000
  216	47.70	0.0000	0.9436	0.9480	1.0000	0.0046	1.0000
  217	47.70	0.0000	0.9419	0.9466	1.0000	0.0049	1.0000
  218	48.10	0.0000	0.9419	0.9465	1.0000	0.0049	1.0000
  219	48.10	0.0000	0.9423	0.9473	1.0000	0.0053	1.0000
  220	48.00	0.0000	0.9405	0.9456	1.0000	0.0054	1.0000
  221	47.50	0.0000	0.9389	0.9435	1.0000	0.0049	1.0000
  222	46.80	0.0000	0.9405	0.9445	1.0000	0.0043	1.0000
  223	46.60	0.0000	0.9395	0.9441	1.0000	0.0049	1.0000
  224	46.20	0.0000	0.9377	0.9426	1.0000	0.0051	1.0000
  225	46.10	0.0000	0.9340	0.9397	1.0000	0.0061	1.0000
  226	46.30	0.0000	0.9351	0.9402	1.0000	0.0055	1.0000
  227	45.10	0.0000	0.9363	0.9412	1.0000	0.0053	1.0000
  228	45.20	0.0000	0.9347	0.9399	1.0000	0.0055	1.0000
  229	45.00	0.0000	0.9349	0.9397	1.0000	0.0050	1.0000
  230	43.50	0.0000	0.9372	0.9412	1.0000	0.0042	1.0000
  231	43.60	0.0000	0.9352	0.9393	1.0000	0.0044	1.0000
  232	42.90	0.0000	0.9339	0.9384	1.0000	0.0048	1.0000
  233	42.00	0.0000	0.9344	0.9394	1.0000	0.0053	1.0000
  234	41.40	0.0000	0.9309	0.9364	1.0000	0.0059	1.0000
  235	41.50	0.0000	0.9311	0.9365	1.0000	0.0058	1.0000
  236	41.90	0.0000	0.9318	0.9365	1.0000	0.0051	1.0000
  237	41.80	0.0000	0.9349	0.9405	1.0000	0.0059	1.0000
  238	41.80	0.0000	0.9328	0.9388	1.0000	0.0064	1.0000
  239	41.40	0.0000	0.9315	0.9371	1.0000	0.0060	1.0000
  240	40.50	0.0000	0.9340	0.9395	1.0000	0.0059	1.0000
  241	39.10	0.0000	0.9356	0.9411	1.0000	0.0058	1.0000
  242	39.10	0.0000	0.9356	0.9411	1.0000	0.0058	1.0000
  243	38.50	0.0000	0.9357	0.9413	1.0000	0.0059	1.0000
  244	38.10	0.0000	0.9368	0.9425	1.0000	0.0060	1.0000
  245	38.40	0.0000	0.9343	0.9402	1.0000	0.0063	1.0000
  246	38.70	0.0000	0.9333	0.9389	1.0000	0.0059	1.0000
  247	38.60	0.0000	0.9331	0.9388	1.0000	0.0060	1.0000
  248	39.20	0.0000	0.9315	0.9379	1.0000	0.0069	1.0000
  249	38.50	0.0000	0.9336	0.9399	1.0000	0.0067	1.0000
  250	38.70	0.0000	0.9358	0.9417	1.0000	0.0063	1.0000
  251	38.30	0.0000	0.9364	0.9424	1.0000	0.0064	1.0000
  252	38.60	0.0000	0.9336	0.9401	1.0000	0.0069	1.0000
  253	38.40	0.0000	0.9317	0.9377	1.0000	0.0064	1.0000
  254	38.60	0.0000	0.9281	0.9331	1.0000	0.0053	1.0000
  255	38.20	0.0000	0.9273	0.9333	1.0000	0.0064	1.0000
  256	38.30	0.0000	0.9264	0.9323	1.0000	0.0063	1.0000
  257	38.20	0.0000	0.9281	0.9353	1.0000	0.0077	1.0000
  258	38.30	0.0000	0.9315	0.9380	1.0000	0.0070	1.0000
  259	38.30	0.0000	0.9323	0.9384	1.0000	0.0065	1.0000
  260	38.30	0.0000	0.9285	0.9358	1.0000	0.0079	1.0000
  261	38.00	0.0000	0.9295	0.9367	1.0000	0.0077	1.0000
  262	38.20	0.0000	0.9320	0.9388	1.0000	0.0073	1.0000
  263	38.60	0.0000	0.9324	0.9394	1.0000	0.0075	1.0000
  264	38.40	0.0000	0.9339	0.9401	1.0000	0.0066	1.0000
  265	38.50	0.0000	0.9311	0.9376	1.0000	0.0069	1.0000
  266	38.20	0.0000	0.9307	0.9370	1.0000	0.0067	1.0000
  267	38.10	0.0000	0.9326	0.9389	1.0000	0.0068	1.0000
  268	37.40	0.0000	0.9326	0.9394	1.0000	0.0073	1.0000
  269	37.90	0.0000	0.9295	0.9366	1.0000	0.0075	1.0000
  270	38.00	0.0000	0.9275	0.9352	1.0000	0.0083	1.0000
  271	38.20	0.0000	0.9279	0.9338	1.0000	0.0064	1.0000
  272	37.30	0.0000	0.9265	0.9333	1.0000	0.0073	1.0000
  273	37.20	0.0000	0.9259	0.9337	1.0000	0.0083	1.0000
  274	36.90	0.0000	0.9275	0.9352	1.0000	0.0082	1.0000
  275	37.10	0.0000	0.9290	0.9361	1.0000	0.0076	1.0000
  276	36.90	0.0000	0.9306	0.9378	1.0000	0.0077	1.0000
  277	36.90	0.0000	0.9312	0.9390	1.0000	0.0083	1.0000
  278	37.40	0.0000	0.9313	0.9383	1.0000	0.0075	1.0000
  279	37.30	0.0000	0.9318	0.9385	1.0000	0.0072	1.0000
  280	37.30	0.0000	0.9319	0.9386	1.0000	0.0071	1.0000
  281	37.70	0.0000	0.9302	0.9366	1.0000	0.0068	1.0000
  282	37.40	0.0000	0.9315	0.9374	1.0000	0.0063	1.0000
  283	37.60	0.0000	0.9313	0.9374	1.0000	0.0065	1.0000
  284	37.70	0.0000	0.9313	0.9376	1.0000	0.0068	1.0000
  285	37.30	0.0000	0.9292	0.9355	1.0000	0.0067	1.0000
  286	37.10	0.0000	0.9285	0.9350	1.0000	0.0069	1.0000
  287	36.90	0.0000	0.9313	0.9372	1.0000	0.0063	1.0000
  288	36.80	0.0000	0.9307	0.9370	1.0000	0.0066	1.0000
  289	36.70	0.0000	0.9286	0.9356	1.0000	0.0075	1.0000
  290	35.90	0.0000	0.9301	0.9366	1.0000	0.0069	1.0000
  291	35.90	0.0000	0.9301	0.9355	1.0000	0.0058	1.0000
  292	36.10	0.0000	0.9307	0.9357	1.0000	0.0053	1.0000
  293	36.20	0.0000	0.9302	0.9361	1.0000	0.0063	1.0000
  294	36.50	0.0000	0.9299	0.9355	1.0000	0.0060	1.0000
  295	36.00	0.0000	0.9315	0.9374	1.0000	0.0063	1.0000
  296	36.10	0.0000	0.9313	0.9372	1.0000	0.0063	1.0000
  297	35.70	0.0000	0.9312	0.9368	1.0000	0.0060	1.0000
  298	35.30	0.0000	0.9300	0.9341	1.0000	0.0044	1.0000
  299	35.80	0.0000	0.9303	0.9346	1.0000	0.0045	1.0000
  300	35.50	0.0000	0.9307	0.9351	1.0000	0.0047	1.0000
  301	35.30	0.0000	0.9322	0.9367	1.0000	0.0048	1.0000
  302	35.40	0.0000	0.9321	0.9365	1.0000	0.0047	1.0000
  303	34.20	0.0000	0.9320	0.9366	1.0000	0.0049	1.0000
  304	34.00	0.0000	0.9329	0.9366	1.0000	0.0040	1.0000
  305	34.50	0.0000	0.9309	0.9350	1.0000	0.0044	1.0000
  306	34.20	0.0000	0.9301	0.9340	1.0000	0.0042	1.0000
