    gen	allel	   Ho	   Hs	   Ht	  Fis	  Fst	  Fit
  489	47.80	0.0000	0.5859	0.9537	1.0000	0.3856	1.0000
  490	48.00	0.0000	0.5888	0.9540	1.0000	0.3828	1.0000
  491	48.30	0.0000	0.5886	0.9540	1.0000	0.3830	1.0000
  492	48.60	0.0000	0.5909	0.9542	1.0000	0.3808	1.0000
  493	48.70	0.0000	0.5826	0.9533	1.0000	0.3889	1.0000
  494	48.40	0.0000	0.5915	0.9543	1.0000	0.3802	1.0000
  495	47.50	0.0000	0.5929	0.9545	1.0000	0.3788	1.0000
  496	48.00	0.0000	0.5894	0.9541	1.0000	0.3822	1.0000
  497	47.40	0.0000	0.5909	0.9543	1.0000	0.3808	1.0000
  498	45.80	0.0000	0.5964	0.9549	1.0000	0.3754	1.0000
  499	46.70	0.0000	0.5942	0.9547	1.0000	0.3776	1.0000
  500	47.10	0.0000	0.5946	0.9547	1.0000	0.3772	1.0000
